NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
AG-NFLX01,2__NFLEX001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-NFLX02,2__NFLEX002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
AG-NFLX03,2__NFLEX003,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NFLX04,2__NFLEX004,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NFLX05,2__NFLEX005,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NFLX06,2__NFLEX006,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NFLX07,2__NFLEX007,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NFLX08,2__NFLEX008,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NFLX09,2__NFLEX009,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-NHAV01,2__NHPOW001,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
AG-NHAV02,2__NHPOW002,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
AG-NLIM01,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-NLIM02,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-NLIM03,,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NLIM04,2__NANGE004,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NSTK01,2__NSTAT001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-NSTK02,2__NSTAT002,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-NSTK03,2__NSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-NSTK04,,Primary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-ORA00A,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-PEDF01,2__PLOND001,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-PFLX02,2__PFLEX002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
AG-PRO00E,,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
AG-REC05L,2__LECOT003,Secondary BMU,WIND,WIND,BMU,Generation,,,,
AG-REC06B,2__BECOT003,Secondary BMU,WIND,WIND,BMU,Generation,,,,
AG-REC07E,,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ZEN03J,V__JZENO001,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ZEN7H,V__HZENO004,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AIGA-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
AIGA-2,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
AIRSW-1,E_AIRSW-1,Primary BMU,WIND,WIND,BMU,Generation,,54.802050805497586,-4.657736096679616,4462.0
AKGLW-2,T_AKGLW-2,Primary BMU,WIND,WIND,BMU,Generation,YES,55.893416376890386,-2.4525902607503536,4591.0
AKGLW-3,T_AKGLW-3,Primary BMU,WIND,WIND,BMU,Generation,YES,55.893416376890386,-2.4525902607503536,4591.0
ALCOA-1,E_ALCOA-1,Primary BMU,CCGT,CCGT,BMU,Generation,YES,,,
ANGLD-1,,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
ANSUW-1,T_ANSUW-1,Primary BMU,WIND,WIND,BMU,Generation,,56.21866506121188,-5.21936666002629,3298.0
ARBRB-1,E_ARBRB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,56.56497,-2.619634,
ARCHW-1,T_ARCHW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.0533,-4.88222,3258.0
ARNKB-1,E_ARNKB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
ARNKB-2,E_ARNKB-2,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
ASHWW-1,E_ASHWW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.50932640838777,-3.8462637410043152,4110.0
ASLVW-1,E_ASLVW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.22647843305392,-4.778705371098767,4645.0
BABAW-1,E_BABAW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,58.56792108721411,-3.6770209864280057,4021.0
BAGTD-1,T_BAGTD-1,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
BARNB-1,E_BARNB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,53.54841,-1.45007,
BDCHW-1,T_BDCHW-1,Primary BMU,WIND,WIND,BMU,Generation,,58.420462483226444,-3.4291930081059174,4646.0
